ID,System,Venue,Year,Labor Site,Labor Types,Human Labor,AI Labor,Allocation,URL
22,GenTune,UIST,2025,BTL Individual,Executional; Meaning-Making,Executional; Meaning-Making,Executional,Executional=HA; Meaning-Making=Human Only,https://dl.acm.org/doi/10.1145/3746059.3747774
23,AIdeation,CHI,2025,BTL Individual,Executional; Meaning-Making,Executional; Meaning-Making,Executional,Executional=HA; Meaning-Making=Human Only,https://dl.acm.org/doi/10.1145/3706598.3714148
24,KinemaFX,UIST,2025,BTL Individual,Executional; Structural; Meaning-Making,Executional; Structural; Meaning-Making,Executional; Structural; Meaning-Making,Executional=HA; Structural=HA; Meaning-Making=HA,https://dl.acm.org/doi/10.1145/3746059.3747734
25,wr-AI-ter,IMX,2024,ATL Group,Executional; Structural; Meaning-Making,Executional; Structural; Meaning-Making,Executional; Structural; Meaning-Making,Executional=HA; Structural=HA; Meaning-Making=HA,https://dl.acm.org/doi/10.1145/3639701.3656325
26,CollageVis,CHI,2024,ATL Group,Executional; Structural; Meaning-Making; Relational,Executional; Structural; Meaning-Making; Relational,Executional,Executional=HA; Structural=Human Only; Meaning-Making=Human Only; Relational=Human Only,https://dl.acm.org/doi/10.1145/3613904.3642575
27,CineVision,UIST,2025,ATL Group,Executional; Structural; Meaning-Making; Relational,Executional; Meaning-Making; Relational,Executional; Structural; Meaning-Making,Executional=HA; Structural=AI Only; Meaning-Making=HA; Relational=Human Only,https://dl.acm.org/doi/10.1145/3746059.3747793
28,AniCraft,UIST,2024,BTL Group,Executional; Structural; Meaning-Making; Relational,Executional; Structural; Meaning-Making; Relational,Executional; Structural,Executional=HA; Structural=HA; Meaning-Making=Human Only; Relational=Human Only,https://dl.acm.org/doi/10.1145/3654777.3676325
29,EditIQ,IUI,2025,BTL Group,Executional; Structural; Meaning-Making,,Executional; Structural; Meaning-Making,Executional=AI Only; Structural=AI Only; Meaning-Making=AI Only,https://dl.acm.org/doi/10.1145/3708359.3712113
30,Paratrouper,CHI,2025,"Cross-Site (ATL Individual, BTL Individual, BTL Group)",Executional; Structural; Meaning-Making,Executional; Structural; Meaning-Making,Executional; Structural,Executional=HA; Structural=HA; Meaning-Making=Human Only,https://dl.acm.org/doi/10.1145/3706598.3714242
31,Understanding Creative Potential,IMX,2025,"Cross-Site (ATL Individual, ATL Group, BTL Individual, BTL Group)",Executional; Structural; Meaning-Making,Executional; Structural; Meaning-Making,Executional,Executional=HA; Structural=Human Only; Meaning-Making=Human Only,https://dl.acm.org/doi/10.1145/3706370.3727853
